trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
70,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,19,-10.467966395518427,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.6449999999999997}",35,21,-2.9226033832706735,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.6399999999999997}",25,8,-7.329321657840553,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.6349999999999997}",25,0,-96.88992823844171,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.6299999999999997}",20,0,-141.51110748778046,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
75,False,"{'a': 0.5, 'e': 0.6249999999999997}",30,0,-138.84266692729213,"{0: 22, 1: 2, 2: 2, 3: 1, 4: 3}",1
76,False,"{'a': 0.5, 'e': 0.6199999999999997}",25,15,7.103006239071419,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.6149999999999997}",20,7,-13.470044309461649,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.6099999999999997}",20,3,-85.55930613486619,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 2}",1
79,False,"{'a': 0.5, 'e': 0.6049999999999996}",20,7,-4.1662206381503,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-76.33724459872344,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.5949999999999996}",20,0,-70.60550925090706,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.5899999999999996}",20,13,10.43237892561414,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.5849999999999996}",20,7,21.837000901918184,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.5799999999999996}",20,4,-6.213274099962327,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.5749999999999996}",25,0,-91.59626210746917,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
86,False,"{'a': 0.5, 'e': 0.5699999999999996}",25,11,-90.21794970494217,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 2}",1
87,False,"{'a': 0.5, 'e': 0.5649999999999996}",30,0,-6.987757858979256,"{0: 26, 1: 2, 2: 1, 3: 1, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.5599999999999996}",35,23,22.79128992585104,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.5549999999999996}",20,0,-36.16118109995672,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-129.7390498607876,"{0: 21, 1: 0, 2: 6, 3: 1, 4: 2}",0
91,False,"{'a': 0.5, 'e': 0.5449999999999996}",20,11,-6.940288453199277,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.5399999999999996}",30,10,-33.174856871640934,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.5349999999999996}",20,9,11.445971053835628,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.5299999999999996}",25,4,10.329722024638134,"{0: 17, 1: 4, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.5249999999999996}",25,0,-11.9182344321752,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.5199999999999996}",25,0,-23.509932656545004,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.5149999999999996}",20,7,10.716537388733688,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.5099999999999996}",25,2,-19.313553367987435,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.5049999999999996}",20,14,-22.391262741463787,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.49999999999999956}",20,7,-37.581385512780145,"{0: 9, 1: 1, 2: 1, 3: 2, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.49499999999999955}",20,10,-2.672115836861612,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.48999999999999955}",20,4,-7.1866181612265425,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.48499999999999954}",20,15,9.4846346158556,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.47999999999999954}",25,12,12.133066564027969,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.47499999999999953}",25,0,-89.55345250471167,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
106,False,"{'a': 0.5, 'e': 0.46999999999999953}",20,14,5.252009447617589,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.4649999999999995}",20,11,-7.796671125934182,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.4599999999999995}",35,18,-6.621784076181156,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.4549999999999995}",20,0,-6.938231840449906,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.4499999999999995}",20,3,14.432510073944806,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.4449999999999995}",25,1,-3.4556697701991412,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.4399999999999995}",25,19,11.194781591423427,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.4349999999999995}",25,0,-47.249411927187175,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
114,False,"{'a': 0.5, 'e': 0.4299999999999995}",20,0,-96.60579306016699,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
115,False,"{'a': 0.5, 'e': 0.4249999999999995}",35,13,-46.74624831612583,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 1}",1
116,False,"{'a': 0.5, 'e': 0.4199999999999995}",20,9,-18.96088623618599,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.4149999999999995}",20,0,-58.41874603843662,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
118,False,"{'a': 0.5, 'e': 0.4099999999999995}",35,11,-70.39754625956436,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 1}",1
119,False,"{'a': 0.5, 'e': 0.40499999999999947}",20,16,8.33965399513192,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.39999999999999947}",20,0,14.880419629299492,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.39499999999999946}",35,21,-79.24430983095962,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 2}",1
122,False,"{'a': 0.5, 'e': 0.38999999999999946}",20,0,-66.15047485858543,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
123,False,"{'a': 0.5, 'e': 0.38499999999999945}",20,3,-86.6272159309979,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 2}",1
124,False,"{'a': 0.5, 'e': 0.37999999999999945}",20,10,17.321042445333074,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.37499999999999944}",30,4,2.0645833204207236,"{0: 22, 1: 2, 2: 2, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.36999999999999944}",25,11,-0.49198613018694326,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.36499999999999944}",20,10,7.697200287032825,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.35999999999999943}",20,3,-36.71285995134984,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
129,False,"{'a': 0.5, 'e': 0.3549999999999994}",25,14,18.40563126246368,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.3499999999999994}",20,0,-107.3340389751527,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
